"诊疗编码","诊疗名称","险种限制","机构限制","就医限制","专科限制","性别限制","年龄限制","疾病限制","人次限制","次数限制","数量限制","额度限制","疗程限制","领域标识"
"003104010150000","耳声发射检查","","","","","","","",,1,,,,"耳鼻喉"
"002203020020000","球后全部血管彩色多普勒超声","","","","","","","",,1,,,,"B超"
"003103000250000","注视性质检查","","","","","","","",,1,,,,"眼科"
"002202010070000","浅表组织器官B超检查","","","","","","","",,1,,,,"B超"
"003315230030000","骨骼牵引术","","","","","","","",,1,,,,"骨科"
"003312030100000","输精管角性结节切除术","","","","","","","",,1,,,,"泌尿"
"002101030180000","腹膜后充气造影","","","","","","","",,1,,,,"放射"
"004500000080200","内科妇科疾病推拿治疗(慢性胃病)","","","","","","","",,1,,,20,"中医治疗"
"002201000020000","临床操作的A超引导","","","","","","","",,1,,,,"B超"
"003105100070000","口腔局部止血","","","","","","","",,1,,,,"口腔"
"002101020170000","非血管介入临床操作数字减影(DSA)引导","","","","","","","",,1,,,,"放射"
"003401000210000","蜡疗","","","","","","","",,1,2,,20,"物理治疗"
"003312030080000","输精管结扎术","","","","","","","",,1,,,,"泌尿"
"003104010260000","耳鸣检查","","","","","","","",,1,,,,"耳鼻喉"
"003315230040000","颅骨牵引术","","","","","","","",,1,,,,"骨科"
"002101030250000","逆行泌尿系造影","","","","","","","",,1,,,,"放射"
"003103000360000","泪道冲洗","","","","","","","",,1,,,,"眼科"
"002101030030000","脊髓(椎管)造影","","","","","","","",,1,,,,"放射"
"002101030240000","静脉泌尿系造影","","","","","","","",,1,,,,"放射"
"003103000180000","牵拉试验","","","","","","","",,1,,,,"眼科"
"004400000020100","隔物灸法(隔姜灸)","","","","","","","",,1,,,20,"中医治疗"
"003103000270000","眼压检查","","","","","","","",,1,,,,"眼科"
"001204000080000","静脉高营养治疗","","","","","","","",,1,,,,"护理"
"002203020110200","腔内彩色多普勒超声检查(经直肠)","","","","","","","",,1,,,,"B超"
"004300000010600","普通针刺(药针)","","","","","","","",,1,20,,20,"中医治疗"
"003107020130000","体外经胸型心脏临时起搏术","","","","","","","",,1,,,,"一般诊疗"
"002101030210000","经内镜逆行胰胆管造影(ERCP)","","","","","","","",,1,,,,"放射"
"001210000010000","洗胃","","","","","","","",,1,,,,"一般诊疗"
"002206000020000","普通二维超声心动图","","","","","","","",,1,,,,"B超"
"003103000390000","角膜曲率测量","","","","","","","",,1,,,,"眼科"
"004300000010400","普通针刺(金针)","","","","","","","",,1,20,,20,"中医治疗"
"002203020030000","颈部血管彩色多普勒超声","","","","","","","",,4,,,,"B超"
"002202030050000","膀胱残余尿量测定","","","","","","","",,1,,,,"B超"
"002202020030000","临床操作的腔内B超引导","","","","","","","",,1,,,,"B超"
"003104010410100","耵聍冲洗(耳道冲洗)","","","","","","","",,1,,,,"耳鼻喉"
"003107010240000","肺动脉压和右心房压力监测","","","","","","","",,1,,,,"监测"
"003401000120300","超短波短波治疗(脉冲超短波和短波)","","","","","","","",,1,2,,20,"物理治疗"
"00331501037","椎管扩大成形术","","","","","","","",,1,,,,"骨科"
"002105000010100","红外热象检查(远红外热断层检查)","","","","","","","",,1,,,,"放射"
"002201000010000","A型超声检查","","","","","","","",,1,,,,"B超"
"004500000080500","内科妇科疾病推拿治疗(胃下垂)","","","","","","","",,1,,,20,"中医治疗"
"003312030070000","输精管插管术","","","","","","","",,1,,,,"泌尿"
"003103000370000","青光眼诱导试验","","","","","","","",,1,,,,"眼科"
"00210101004","C型臂术中透视","","","","","","","",,3,,,,"放射"
"003104010140000","耳蜗电图","","","","","","","",,1,,,,"耳鼻喉"
"002202010090000","临床操作的B超引导","","","","","","","",,1,,,,"B超"
"003315010200000","颈椎间盘切除椎间植骨融合术","","","","","","","",,,3,,,"骨科"
"003316040190100","足底缺损修复术(足跟缺损)","","","","","","","",,,2,,,"骨科"
"003307020110000","肺修补术","","","","","","","",,,1,,,"心胸"
"00220302006","四肢血管彩色多普勒超声","","","","","","","",,,4,,,"B超"
"003316010060000","乳腺癌扩大根治术","","","","","","","",,,1,,,"普外"
"002201000030000","眼部A超","","","","","","","",,,1,,,"B超"
"003401000040700","紫外线治疗(导子紫外线)","","","","","","","",,,2,,20,"物理治疗"
"003101000070100","神经传导速度测定(重复神经电刺激)","","","","","","","",,,2,,,"脑电"
"003316030060000","深度烧伤截肢术","","","","","","","",,,4,,,"普外"
"003106030020200","无创辅助通气(双水平气道正压(BIPAP))","","","","","","","",,,24,,,"ICU"
"003401000040900","紫外线治疗(光化学疗法)","","","","","","","",,,2,,20,"物理治疗"
"002101030070000","颞下颌关节造影","","","","","","","",,,1,,,"放射"
"003315190140000","带蒂复合组织瓣成形术","","","","","","","",,,2,,,"骨科"
"002101010010300","普通透视(盆腔)","","","","","","","",,,2,,,"放射"
"003316030010000","烧伤焦痂切开减张术","","","","","","","",,,2,,,"普外"
"003315130030000","残端修整术","","","","","","","",,,5,,,"骨科"
"003114000210000","甲癣封包治疗","","","","","","","",,,5,,,"一般诊疗"
"003306080160000","颧骨陈旧性骨折植骨矫治术","","","","","","","",,,1,,,"骨科"
"002403000090000","不规则野大面积照射","","","","","","","",,,2,33000,,"放射"
"002101030350000","四肢血管造影","","","","","","","",,,4,,,"放射"
"003304020100000","泪小管填塞术","","","","","","","",,,1,,,"眼科"
"003316030080000","经烧伤创面静脉切开术","","","","","","","",,,10,,,"普外"
"003306070150000","颞下颌关节盘手术","","","","","","","",,,1,,,"耳鼻喉"
"003315220030000","骨化性肌炎局部切除术","","","","","","","",,,2,,,"骨科"
"003315190120000","指关节成形术","","","","","","","",,,5,,,"骨科"
"003401000040600","紫外线治疗(水冷式)","","","","","","","",,,2,,20,"物理治疗"
"003304070140000","硅油取出术","","","","","","","",,,1,,,"眼科"
"003311010150000","多囊肾去顶减压术","","","","","","","",,,1,,,"泌尿"
