"主项编码","主项名称","过度周期","过度限制","领域标识"
"003115010020000","精神科B类量表测查","每周","1","精神治疗"
"003115010020000","精神科B类量表测查","每周","1","精神治疗"
"003115010020000","精神科B类量表测查","每周","1","精神治疗"
"003115010031600","精神科C类量表测查(专家系统行为观察诊断量表)","每周","1","精神治疗"
"003115010021600","精神科B类量表测查(各种个别能力测验)","每周","1","精神治疗"
"003115010030000","精神科C类量表测查","每周","1","精神治疗"
"003115010030000","精神科C类量表测查","每周","1","精神治疗"
"003115010020000","精神科B类量表测查","每月","1","精神治疗"
"003402000120000","认知知觉功能检查","每周","1","康复治疗"
"003402000120100","计算定向思维推理检查","每周","1","康复治疗"
"003402000350000","儿童听力障碍语言训练","每周","1","康复治疗"
"003104010500000","耳石复位治疗","每周","2","一般治疗"
"002504030070000","乙型肝炎e抗体测定(AntiHBe)","每月","1","化验"
"002504030080000","乙型肝炎核心抗原测定(HBcAg)","每月","1","化验"
"002504030090000","乙型肝炎核心抗体测定(Anti-HBc)","每月","1","化验"
"002504030100000","乙型肝炎核心IgM抗体测定(Anti-HBcIgM)","每月","1","化验"
"002504030110000","乙型肝炎病毒外膜蛋白前S1抗原测定","每月","1","化验"
"002504030110000","乙型肝炎病毒外膜蛋白前S1抗原测定","每月","1","化验"
"002504030120100","乙型肝炎病毒外膜蛋白前S2抗原测定(前S2抗体测定)","每月","1","化验"
"002504030130000","丙型肝炎RNA测定","每月","1","化验"
"002504030140000","丙型肝炎抗体测定(Anti-HCV)","每月","1","化验"
"002504030140000","丙型肝炎抗体测定(Anti-HCV)","每月","1","化验"
"002504030150000","丁型肝炎抗体测定(Anti-HDV)","每月","1","化验"
"002504030160000","丁型肝炎抗原测定(HDVAg)","每月","1","化验"
"002504030170000","戊型肝炎抗体测定(Anti-HEV)","每月","1","化验"
